"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C11,C12,C8,C2,C15";"C_0402_1005Metric";6;"4.7uF";
2;"AE1";"Antenna_cypress_MIFA";1;"Antenna_MIFA_Cypress";
3;"J3,J5";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
4;"R6";"R_0402_1005Metric";1;"22K";
5;"L4";"C_0402_1005Metric";1;"2.7nH";
6;"C4";"C_0402_1005Metric";1;"2.2nF";
7;"IGNORE1";"BoardText";1;"Wireless v0.5";
8;"Y2";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal_16M_small";
9;"C14";"C_0402_1005Metric";1;"4.7pF";
10;"C10";"C_0402_1005Metric";1;"1.5pF";
11;"J4";"swd_header";1;"swd_4pin";
12;"L3";"C_0402_1005Metric";1;"3.9nH";
13;"U2,U1";"SOT-23-5";2;"ME6211C33M5G-N";
14;"C13";"C_0603_1608Metric";1;"22uF_10V";
15;"R2,R3,R4,R1";"R_0402_1005Metric";4;"120R";
16;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
17;"U4";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"NRF24L01";
18;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
19;"C7";"C_0402_1005Metric";1;"1pF";
20;"C6,C5";"C_0402_1005Metric";2;"12pF";
21;"C1";"C_0402_1005Metric";1;"0.1uF";
22;"L1";"C_0402_1005Metric";1;"8.2nH";
23;"C3";"C_0402_1005Metric";1;"33nF";
24;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
25;"J2";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
