"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
2;"U1";"Joystick";1;"Joystick";
3;"J5,J2";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
4;"IGNORE1";"BoardText";1;"Joystick v0.1";
5;"J4";"swd_header";1;"swd_4pin";
6;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
7;"R2,R4,R1,R3";"R_0402_1005Metric";4;"75R";
8;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
9;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
10;"R6";"R_0402_1005Metric";1;"10K";
11;"C1";"C_0402_1005Metric";1;"0.1uF";
