Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
10K,R5,R_0402_1005Metric,C25744
button_6x6x7,SW2,SW_SPST_PTS645,C381064
1K,R6,R_0402_1005Metric,C11702
ME6211C33M5G-N,U2,SOT-23-5,C81233
1N4148W,D3,D_SOD-123,C81598
75R,"R2,R3,R4,R1",R_0402_1005Metric,C25133
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
ws2812b_1615,D2,WS2812B_1615,C5349954
N_MOSFET,Q1,SOT-23,C8545
0.1uF,C1,C_0402_1005Metric,C1525
01x06_2.54mm_Female,J5,01x06_2.54mm_Female,C5142239
01x06_2.54mm_Male,J2,01x06_2.54mm_Male,C5242199
