"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2,C3";"C_0402_1005Metric";4;"4.7uF";
2;"U1";"Texas_PWSON-N6";1;"HDC1080";
3;"J3,J5";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
4;"IGNORE1";"BoardText";1;"Temp v0.5";
5;"R5,R6";"R_0402_1005Metric";2;"10K";
6;"J4";"swd_header";1;"swd_4pin";
7;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
8;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
9;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
10;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
11;"C1";"C_0402_1005Metric";1;"0.1uF";
12;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
13;"J2";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
